SEXO	ESTADO CIVIL	NASCIMENTO	LINGUA	CURSO QUE DESEJA	CIDADE	BAIRRO	ESCOLA DE ORIGEM
Feminino	Solteiro(a)	20/05/1975	Espanhol	Área de Humanas	Campina Grande	Cruzeiro	EEEFM Raul Córdula
Feminino	Solteiro(a)	04/04/2000	Espanhol	Área da Natureza	Esperança	Centro - Esperança	Estadual - E.C.I. Monsenhor José da Silva Coutinho
Feminino	Solteiro(a)	19/09/1995	Espanhol	Área de Exatas	Esperança	Centro - Esperança	Estadual - E.C.I. Monsenhor José da Silva Coutinho
Masculino	Solteiro(a)	05/09/1995	Inglês	Área de Saúde	Baraúna	Centro - Baraúna	EEEM Prefeito Severino Pereira Gomes
Feminino	Solteiro(a)	30/07/2001	Inglês	Psicologia	Campina Grande	Palmeira	Estadual Anésio Leão
Feminino	Solteiro(a)	31/10/2001	Inglês	Psicologia	Campina Grande	Palmeira	Estadual Anésio Leão
Feminino	Casado(a)	18/09/1991	Inglês	Pedagogia	Campina Grande	São José da Mata	EEEFM José Miguel Leão
Feminino	Solteiro(a)	04/04/2001	Inglês	Psicologia	Campina Grande	Cinza	Estadual da Prata
Feminino	Solteiro(a)	21/06/2001	Inglês	Medicina	Gurjão	Centro - Gurjão	Escola Estadual João de Abreu
Feminino	Solteiro(a)	09/02/2000	Espanhol	História	Campina Grande	São José da Mata	EEEFM José Miguel Leão
Feminino	Solteiro(a)	30/04/2000	Inglês	Área de Saúde	Campina Grande	Prata	Estadual da Prata
Masculino	Solteiro(a)	25/10/1987	Inglês	Área de Saúde	Campina Grande	Bodocongó	Estadual da Prata
Masculino	Casado(a)	31/01/1989	Espanhol	Área de Saúde	Campina Grande	Dinamérica	EEEFM Raul Córdula
Masculino	Solteiro(a)	26/01/2002	Inglês	Área de Exatas	Campina Grande	Dinamérica	EEEFM Raul Córdula
Feminino	Solteiro(a)	04/10/1998	Espanhol	Área de Humanas	Campina Grande	Jardim Paulistano	Estadual da Prata
Feminino	Casado(a)	18/03/1987	Inglês	Área de Humanas	Campina Grande	Palmeira	Estadual Anésio Leão
Feminino	Casado(a)	05/10/1992	Espanhol	Área de Saúde	Campina Grande	LIgeiro 	Estadual Francisco Ernesto do Rêgo
Feminino	Solteiro(a)	21/01/1993	Espanhol	Área de Saúde	Campina Grande	Monte Santo	Estadual da Prata
Masculino	Solteiro(a)	22/08/1996	Inglês	Área de Saúde	Campina Grande	Monte Santo	Estadual da Prata
Feminino	Solteiro(a)	19/12/1995	Inglês	Área de Saúde	Campina Grande	Bodocongó	Estadual da Prata
Feminino	Solteiro(a)	15/04/1996	Inglês	Área de Saúde	Campina Grande	Bodocongó	Estadual de Bodocongó
Feminino	Solteiro(a)	14/04/1996	Inglês	Área de Humanas	Campina Grande	Santa Rosa	Estadual Premen
Masculino	Solteiro(a)	27/09/1996	Inglês	Área de Saúde	Campina Grande	Monte Santo	Estadual da Prata
Masculino	Solteiro(a)	09/11/1997	Inglês	Área de Humanas	Campina Grande	Monte Santo	Estadual da Prata
Masculino	Solteiro(a)	27/07/1998	Inglês	Área de Saúde	Campina Grande	presidente medici	Estadual Premen
Feminino	Solteiro(a)	26/04/1999	Inglês	Área de Saúde	Campina Grande	tambor	Estadual Francisco Ernesto do Rêgo
Masculino	Solteiro(a)	01/07/1996	Inglês	Área de Saúde	Campina Grande	Santa Cruz	EEEFM Raul Córdula
Feminino	Solteiro(a)	06/12/1965	Espanhol	Área de Humanas	Campina Grande	Liberdade	EEEFM Félix Araújo
Feminino	Casado(a)	03/05/1965	Inglês	Área de Exatas	Campina Grande	Palmeira	Estadual Anésio Leão
Masculino	Solteiro(a)	29/11/1999	Inglês	Área de Exatas	Campina Grande	Palmeira	Estadual Anésio Leão
Feminino	Casado(a)	19/06/1986	Espanhol	Área de Saúde	Campina Grande	Bodocongó	Estadual de Bodocongó
Masculino	Solteiro(a)	09/11/1993	Espanhol	Área de Exatas	Campina Grande	Jardim Paulistano	Estadual da Prata
Feminino	Divorciado(a)	18/06/1979	Espanhol	Área de Saúde	Campina Grande	Palmeira	Estadual Anésio Leão
Masculino	Solteiro(a)	05/09/1996	Espanhol	Área de Humanas	Campina Grande	José Pinheiro	EEEFM Nenzinha Cunha Lima
Masculino	Solteiro(a)	18/05/1999	Espanhol	Área de Saúde	Campina Grande	Jardim Tavares	Estadual da Prata
Feminino	Solteiro(a)	10/03/2000	Espanhol	Não definido	Campina Grande	Centro	EEEFM Solon de Lucena
Masculino	Solteiro(a)	23/12/2000	Inglês	Área de Exatas	Campina Grande	Centenário	Estadual da Prata
Masculino	Solteiro(a)	04/04/1996	Inglês	Área de Exatas	Campina Grande	Bodocongó	Estadual de Bodocongó
Feminino	Solteiro(a)	01/09/1995	Espanhol	Área de Humanas	Campina Grande	Cruzeiro	EEEFM Raul Córdula
Feminino	Solteiro(a)	30/01/1998	Espanhol	Área de Humanas	Campina Grande	Santa Cruz	Estadual da Prata
Feminino	Solteiro(a)	05/08/2001	Inglês	Área de Exatas	Campina Grande	Bodocongó	Estadual de Bodocongó
Masculino	Solteiro(a)	10/06/2000	Inglês	Não definido	Campina Grande	Monte Castelo	Estadual Premen
Feminino	Solteiro(a)	28/03/1999	Espanhol	Área de Humanas	Campina Grande	Liberdade	EEEFM Félix Araújo
Feminino	Solteiro(a)	16/11/1994	Inglês	Área de Humanas	Campina Grande	Quarenta	Estadual Premen
Feminino	Solteiro(a)	18/09/1997	Inglês	Área de Saúde	Campina Grande	Mutirão	Estadual da Prata
Masculino	Solteiro(a)	15/07/1999	Inglês	Não definido	Campina Grande	Cruzeiro	EEEFM Raul Córdula
Feminino	Casado(a)	25/04/1985	Inglês	Área de Humanas	Campina Grande	Malvinas	Estadual da Prata
Masculino	Solteiro(a)	23/09/1998	Espanhol	Área de Saúde	Esperança	Centro - Esperança	Estadual - E.C.I. Monsenhor José da Silva Coutinho
Masculino	Solteiro(a)	16/07/2000	Inglês	Área de Saúde	Esperança	Centro - Esperança	Estadual - E.C.I. Monsenhor José da Silva Coutinho
